

   No. Wave(nm)     Rf
   1     400      0.0085
   2     401      0.0134
   3     402      0.0135
   4     403      0.0136
   5     404      0.0137
   6     405      0.0138
   7     406      0.0138
   8     407      0.0139
   9     408      0.0140
  10     409      0.0140
  11     410      0.0139
  12     411      0.0140
  13     412      0.0140
  14     413      0.0140
  15     414      0.0140
  16     415      0.0141
  17     416      0.0142
  18     417      0.0143
  19     418      0.0144
  20     419      0.0145
  21     420      0.0146
  22     421      0.0147
  23     422      0.0147
  24     423      0.0148
  25     424      0.0149
  26     425      0.0149
  27     426      0.0149
  28     427      0.0149
  29     428      0.0150
  30     429      0.0150
  31     430      0.0151
  32     431      0.0151
  33     432      0.0152
  34     433      0.0153
  35     434      0.0153
  36     435      0.0154
  37     436      0.0155
  38     437      0.0156
  39     438      0.0156
  40     439      0.0157
  41     440      0.0158
  42     441      0.0158
  43     442      0.0158
  44     443      0.0159
  45     444      0.0159
  46     445      0.0160
  47     446      0.0161
  48     447      0.0161
  49     448      0.0162
  50     449      0.0162
  51     450      0.0163
  52     451      0.0164
  53     452      0.0165
  54     453      0.0166
  55     454      0.0166
  56     455      0.0167
  57     456      0.0167
  58     457      0.0168
  59     458      0.0169
  60     459      0.0170
  61     460      0.0170
  62     461      0.0171
  63     462      0.0171
  64     463      0.0172
  65     464      0.0172
  66     465      0.0173
  67     466      0.0174
  68     467      0.0175
  69     468      0.0175
  70     469      0.0176
  71     470      0.0177
  72     471      0.0177
  73     472      0.0178
  74     473      0.0178
  75     474      0.0179
  76     475      0.0179
  77     476      0.0180
  78     477      0.0180
  79     478      0.0181
  80     479      0.0181
  81     480      0.0182
  82     481      0.0183
  83     482      0.0184
  84     483      0.0185
  85     484      0.0186
  86     485      0.0187
  87     486      0.0188
  88     487      0.0189
  89     488      0.0190
  90     489      0.0191
  91     490      0.0193
  92     491      0.0194
  93     492      0.0196
  94     493      0.0197
  95     494      0.0199
  96     495      0.0201
  97     496      0.0203
  98     497      0.0205
  99     498      0.0208
 100     499      0.0211
 101     500      0.0215
 102     501      0.0217
 103     502      0.0221
 104     503      0.0224
 105     504      0.0228
 106     505      0.0232
 107     506      0.0236
 108     507      0.0241
 109     508      0.0246
 110     509      0.0251
 111     510      0.0256
 112     511      0.0263
 113     512      0.0269
 114     513      0.0275
 115     514      0.0283
 116     515      0.0290
 117     516      0.0297
 118     517      0.0305
 119     518      0.0313
 120     519      0.0321
 121     520      0.0329
 122     521      0.0338
 123     522      0.0346
 124     523      0.0353
 125     524      0.0361
 126     525      0.0369
