   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
    1   400      0.0051   0.0079    0.0079   0.5754   0.0000  0.0000  0.4196
    2   401      0.0169   0.0158    0.0158   0.5601   0.0000  0.0000  0.4231
    3   402      0.0169   0.0158    0.0158   0.5601   0.0000  0.0000  0.4230
    4   403      0.0169   0.0159    0.0159   0.5601   0.0000  0.0000  0.4229
    5   404      0.0170   0.0160    0.0160   0.5602   0.0000  0.0000  0.4227
    6   405      0.0171   0.0161    0.0161   0.5602   0.0000  0.0000  0.4227
    7   406      0.0171   0.0161    0.0161   0.5603   0.0000  0.0000  0.4227
    8   407      0.0171   0.0161    0.0161   0.5603   0.0000  0.0000  0.4226
    9   408      0.0172   0.0163    0.0163   0.5604   0.0000  0.0000  0.4224
   10   409      0.0171   0.0162    0.0162   0.5604   0.0000  0.0000  0.4225
   11   410      0.0171   0.0162    0.0162   0.5604   0.0000  0.0000  0.4225
   12   411      0.0171   0.0163    0.0163   0.5604   0.0000  0.0000  0.4224
   13   412      0.0171   0.0162    0.0162   0.5604   0.0000  0.0000  0.4225
   14   413      0.0171   0.0162    0.0162   0.5604   0.0000  0.0000  0.4225
   15   414      0.0171   0.0162    0.0162   0.5605   0.0000  0.0000  0.4224
   16   415      0.0172   0.0164    0.0164   0.5605   0.0000  0.0000  0.4223
   17   416      0.0172   0.0165    0.0165   0.5606   0.0000  0.0000  0.4222
   18   417      0.0173   0.0165    0.0165   0.5606   0.0000  0.0000  0.4221
   19   418      0.0173   0.0166    0.0166   0.5606   0.0000  0.0000  0.4220
   20   419      0.0174   0.0167    0.0167   0.5607   0.0000  0.0000  0.4219
   21   420      0.0174   0.0168    0.0168   0.5607   0.0000  0.0000  0.4218
   22   421      0.0175   0.0168    0.0168   0.5608   0.0000  0.0000  0.4217
   23   422      0.0175   0.0169    0.0169   0.5608   0.0000  0.0000  0.4216
   24   423      0.0176   0.0170    0.0170   0.5609   0.0000  0.0000  0.4215
   25   424      0.0176   0.0171    0.0171   0.5610   0.0000  0.0000  0.4214
   26   425      0.0176   0.0170    0.0170   0.5609   0.0000  0.0000  0.4215
   27   426      0.0176   0.0170    0.0170   0.5609   0.0000  0.0000  0.4215
   28   427      0.0176   0.0171    0.0171   0.5610   0.0000  0.0000  0.4214
   29   428      0.0176   0.0171    0.0171   0.5610   0.0000  0.0000  0.4214
   30   429      0.0176   0.0172    0.0172   0.5611   0.0000  0.0000  0.4213
   31   430      0.0177   0.0172    0.0172   0.5611   0.0000  0.0000  0.4212
   32   431      0.0177   0.0173    0.0173   0.5612   0.0000  0.0000  0.4212
   33   432      0.0177   0.0173    0.0173   0.5612   0.0000  0.0000  0.4211
   34   433      0.0178   0.0174    0.0174   0.5613   0.0000  0.0000  0.4210
   35   434      0.0178   0.0174    0.0174   0.5613   0.0000  0.0000  0.4209
   36   435      0.0178   0.0175    0.0175   0.5614   0.0000  0.0000  0.4208
   37   436      0.0179   0.0176    0.0176   0.5614   0.0000  0.0000  0.4207
   38   437      0.0179   0.0177    0.0177   0.5614   0.0000  0.0000  0.4207
   39   438      0.0179   0.0177    0.0177   0.5615   0.0000  0.0000  0.4206
   40   439      0.0180   0.0178    0.0178   0.5615   0.0000  0.0000  0.4205
   41   440      0.0180   0.0178    0.0178   0.5615   0.0000  0.0000  0.4204
   42   441      0.0180   0.0179    0.0179   0.5615   0.0000  0.0000  0.4204
   43   442      0.0181   0.0179    0.0179   0.5615   0.0000  0.0000  0.4204
   44   443      0.0181   0.0179    0.0179   0.5615   0.0000  0.0000  0.4204
   45   444      0.0181   0.0180    0.0180   0.5615   0.0000  0.0000  0.4204
   46   445      0.0182   0.0181    0.0181   0.5615   0.0000  0.0000  0.4203
   47   446      0.0183   0.0181    0.0181   0.5614   0.0000  0.0000  0.4203
   48   447      0.0183   0.0182    0.0182   0.5614   0.0000  0.0000  0.4203
   49   448      0.0184   0.0182    0.0182   0.5613   0.0000  0.0000  0.4203
   50   449      0.0184   0.0183    0.0183   0.5612   0.0000  0.0000  0.4203
   51   450      0.0185   0.0184    0.0184   0.5612   0.0000  0.0000  0.4203
   52   451      0.0186   0.0185    0.0185   0.5611   0.0000  0.0000  0.4203
   53   452      0.0187   0.0186    0.0186   0.5610   0.0000  0.0000  0.4203
   54   453      0.0188   0.0187    0.0187   0.5608   0.0000  0.0000  0.4203
   55   454      0.0189   0.0187    0.0187   0.5607   0.0000  0.0000  0.4204
   56   455      0.0190   0.0188    0.0188   0.5605   0.0000  0.0000  0.4204
   57   456      0.0191   0.0189    0.0189   0.5604   0.0000  0.0000  0.4205
   58   457      0.0192   0.0190    0.0190   0.5602   0.0000  0.0000  0.4205
   59   458      0.0193   0.0191    0.0191   0.5601   0.0000  0.0000  0.4206
   60   459      0.0194   0.0192    0.0192   0.5599   0.0000  0.0000  0.4206
   61   460      0.0195   0.0193    0.0193   0.5598   0.0000  0.0000  0.4207
   62   461      0.0196   0.0193    0.0193   0.5597   0.0000  0.0000  0.4207
   63   462      0.0197   0.0194    0.0194   0.5596   0.0000  0.0000  0.4207
   64   463      0.0198   0.0194    0.0194   0.5595   0.0000  0.0000  0.4208
   65   464      0.0199   0.0195    0.0195   0.5594   0.0000  0.0000  0.4208
   66   465      0.0199   0.0196    0.0196   0.5592   0.0000  0.0000  0.4208
   67   466      0.0200   0.0197    0.0197   0.5592   0.0000  0.0000  0.4208
   68   467      0.0201   0.0198    0.0198   0.5591   0.0000  0.0000  0.4208
   69   468      0.0202   0.0198    0.0198   0.5590   0.0000  0.0000  0.4208
   70   469      0.0203   0.0199    0.0199   0.5589   0.0000  0.0000  0.4208
   71   470      0.0204   0.0200    0.0200   0.5588   0.0000  0.0000  0.4208
   72   471      0.0204   0.0200    0.0200   0.5588   0.0000  0.0000  0.4208
   73   472      0.0205   0.0201    0.0201   0.5587   0.0000  0.0000  0.4208
   74   473      0.0205   0.0202    0.0202   0.5587   0.0000  0.0000  0.4208
   75   474      0.0206   0.0202    0.0202   0.5587   0.0000  0.0000  0.4207
   76   475      0.0207   0.0203    0.0203   0.5586   0.0000  0.0000  0.4207
   77   476      0.0207   0.0203    0.0203   0.5586   0.0000  0.0000  0.4207
   78   477      0.0208   0.0204    0.0204   0.5585   0.0000  0.0000  0.4207
   79   478      0.0208   0.0204    0.0204   0.5584   0.0000  0.0000  0.4207
   80   479      0.0209   0.0205    0.0205   0.5584   0.0000  0.0000  0.4207
   81   480      0.0210   0.0206    0.0206   0.5583   0.0000  0.0000  0.4207
   82   481      0.0211   0.0207    0.0207   0.5582   0.0000  0.0000  0.4207
   83   482      0.0212   0.0208    0.0208   0.5581   0.0000  0.0000  0.4207
   84   483      0.0213   0.0209    0.0209   0.5579   0.0000  0.0000  0.4207
   85   484      0.0214   0.0210    0.0210   0.5578   0.0000  0.0000  0.4208
   86   485      0.0216   0.0211    0.0211   0.5575   0.0000  0.0000  0.4208
   87   486      0.0218   0.0213    0.0213   0.5573   0.0000  0.0000  0.4209
   88   487      0.0219   0.0214    0.0214   0.5570   0.0000  0.0000  0.4211
   89   488      0.0222   0.0216    0.0216   0.5566   0.0000  0.0000  0.4212
   90   489      0.0224   0.0218    0.0218   0.5562   0.0000  0.0000  0.4213
   91   490      0.0227   0.0220    0.0220   0.5558   0.0000  0.0000  0.4215
   92   491      0.0230   0.0222    0.0222   0.5553   0.0000  0.0000  0.4217
   93   492      0.0233   0.0224    0.0224   0.5547   0.0000  0.0000  0.4219
   94   493      0.0237   0.0226    0.0226   0.5541   0.0000  0.0000  0.4222
   95   494      0.0241   0.0229    0.0229   0.5534   0.0000  0.0000  0.4225
   96   495      0.0245   0.0231    0.0231   0.5526   0.0000  0.0000  0.4229
