

   No. Wave(nm)     Rf
   1     599      0.0132
   2     600      0.0444
   3     601      0.0442
   4     602      0.0440
   5     603      0.0438
   6     604      0.0436
   7     605      0.0433
   8     606      0.0430
   9     607      0.0428
  10     608      0.0424
  11     609      0.0421
  12     610      0.0417
  13     611      0.0414
  14     612      0.0411
  15     613      0.0407
  16     614      0.0404
  17     615      0.0400
  18     616      0.0397
  19     617      0.0394
  20     618      0.0392
  21     619      0.0389
  22     620      0.0387
  23     621      0.0385
  24     622      0.0384
  25     623      0.0383
  26     624      0.0382
  27     625      0.0382
  28     626      0.0381
  29     627      0.0381
  30     628      0.0381
  31     629      0.0381
  32     630      0.0381
  33     631      0.0381
  34     632      0.0380
  35     633      0.0380
  36     634      0.0379
  37     635      0.0377
  38     636      0.0375
  39     637      0.0372
  40     638      0.0370
  41     639      0.0366
  42     640      0.0363
  43     641      0.0359
  44     642      0.0355
  45     643      0.0351
  46     644      0.0347
  47     645      0.0344
  48     646      0.0340
  49     647      0.0337
  50     648      0.0334
  51     649      0.0331
  52     650      0.0329
  53     651      0.0327
  54     652      0.0326
  55     653      0.0325
  56     654      0.0323
  57     655      0.0322
  58     656      0.0320
  59     657      0.0318
  60     658      0.0315
  61     659      0.0313
  62     660      0.0310
  63     661      0.0307
  64     662      0.0305
  65     663      0.0302
  66     664      0.0299
  67     665      0.0297
  68     666      0.0295
  69     667      0.0293
  70     668      0.0292
  71     669      0.0291
  72     670      0.0290
  73     671      0.0290
  74     672      0.0290
  75     673      0.0290
  76     674      0.0290
  77     675      0.0291
  78     676      0.0291
  79     677      0.0292
  80     678      0.0293
  81     679      0.0294
  82     680      0.0296
  83     681      0.0298
  84     682      0.0301
  85     683      0.0306
  86     684      0.0311
  87     685      0.0318
  88     686      0.0327
  89     687      0.0338
  90     688      0.0352
  91     689      0.0368
  92     690      0.0387
  93     691      0.0409
  94     692      0.0434
  95     693      0.0463
  96     694      0.0494
  97     695      0.0529
  98     696      0.0566
  99     697      0.0605
 100     698      0.0646
 101     699      0.0688
 102     700      0.0731
 103     701      0.0775
 104     702      0.0819
 105     703      0.0863
 106     704      0.0906
 107     705      0.0948
 108     706      0.0990
 109     707      0.1031
 110     708      0.1071
 111     709      0.1111
 112     710      0.1151
 113     711      0.1189
 114     712      0.1227
 115     713      0.1265
 116     714      0.1303
 117     715      0.1340
 118     716      0.1376
 119     717      0.1412
 120     718      0.1448
 121     719      0.1483
 122     720      0.1517
 123     721      0.1551
 124     722      0.1584
 125     723      0.1617
 126     724      0.1648
 127     725      0.1679
 128     726      0.1708
 129     727      0.1737
 130     728      0.1765
 131     729      0.1791
 132     730      0.1817
 133     731      0.1842
 134     732      0.1865
 135     733      0.1888
 136     734      0.1910
 137     735      0.1930
 138     736      0.1949
 139     737      0.1967
 140     738      0.1985
 141     739      0.2002
 142     740      0.2017
 143     741      0.2031
 144     742      0.2045
 145     743      0.2057
 146     744      0.2069
 147     745      0.2079
 148     746      0.2090
 149     747      0.2099
 150     748      0.2108
 151     749      0.2116
 152     750      0.2123
 153     751      0.2130
 154     752      0.2137
 155     753      0.2145
 156     754      0.2152
 157     755      0.2159
 158     756      0.2166
 159     757      0.2173
 160     758      0.2181
 161     759      0.2188
 162     760      0.2194
 163     761      0.2201
 164     762      0.2208
 165     763      0.2214
 166     764      0.2221
 167     765      0.2227
 168     766      0.2233
 169     767      0.2238
 170     768      0.2244
 171     769      0.2250
 172     770      0.2255
 173     771      0.2261
 174     772      0.2266
 175     773      0.2271
 176     774      0.2275
 177     775      0.2279
 178     776      0.2282
 179     777      0.2286
 180     778      0.2289
 181     779      0.2292
 182     780      0.2295
 183     781      0.2297
 184     782      0.2299
 185     783      0.2301
 186     784      0.2303
 187     785      0.2305
 188     786      0.2308
 189     787      0.2310
 190     788      0.2312
 191     789      0.2314
 192     790      0.2317
 193     791      0.2319
 194     792      0.2321
 195     793      0.2323
 196     794      0.2325
 197     795      0.2327
 198     796      0.2329
 199     797      0.2331
 200     798      0.2333
 201     799      0.2335
 202     800      0.2337
 203     801      0.2339
 204     802      0.2341
 205     803      0.2343
 206     804      0.2345
 207     805      0.2347
 208     806      0.2349
 209     807      0.2351
 210     808      0.2353
 211     809      0.2355
 212     810      0.2357
 213     811      0.2358
 214     812      0.2360
 215     813      0.2362
 216     814      0.2364
 217     815      0.2365
 218     816      0.2367
 219     817      0.2369
 220     818      0.2371
 221     819      0.2372
 222     820      0.2374
 223     821      0.2376
 224     822      0.2377
 225     823      0.2379
 226     824      0.2380
 227     825      0.2382
 228     826      0.2383
 229     827      0.2384
 230     828      0.2385
 231     829      0.2386
 232     830      0.2388
 233     831      0.2389
 234     832      0.2390
 235     833      0.2391
 236     834      0.2393
 237     835      0.2394
 238     836      0.2396
 239     837      0.2397
 240     838      0.2399
 241     839      0.2400
 242     840      0.2402
 243     841      0.2403
 244     842      0.2404
 245     843      0.2406
 246     844      0.2407
 247     845      0.2408
 248     846      0.2410
 249     847      0.2411
 250     848      0.2412
 251     849      0.2414
 252     850      0.2416
 253     851      0.2417
 254     852      0.2419
 255     853      0.2420
 256     854      0.2421
 257     855      0.2422
 258     856      0.2424
 259     857      0.2425
 260     858      0.2426
 261     859      0.2428
 262     860      0.2429
 263     861      0.2430
 264     862      0.2431
 265     863      0.2432
 266     864      0.2434
 267     865      0.2435
 268     866      0.2436
 269     867      0.2437
 270     868      0.2439
 271     869      0.2441
 272     870      0.2441
 273     871      0.2443
 274     872      0.2444
 275     873      0.2445
 276     874      0.2446
 277     875      0.2447
 278     876      0.2448
 279     877      0.2449
 280     878      0.2450
 281     879      0.2451
 282     880      0.2452
 283     881      0.2453
 284     882      0.2454
 285     883      0.2455
 286     884      0.2456
 287     885      0.2457
 288     886      0.2458
 289     887      0.2459
 290     888      0.2460
 291     889      0.2461
 292     890      0.2462
 293     891      0.2463
 294     892      0.2464
 295     893      0.2465
 296     894      0.2465
 297     895      0.2466
 298     896      0.2468
 299     897      0.2468
 300     898      0.2469
 301     899      0.2470
 302     900      0.2626
