   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
    1   599      0.0052   0.0071    0.0110   0.7223   0.0000  0.0000  0.2723
    2   600      0.0358   0.0341    0.0331   0.6780   0.0000  0.0000  0.2860
    3   601      0.0356   0.0339    0.0330   0.6783   0.0000  0.0000  0.2859
    4   602      0.0354   0.0337    0.0328   0.6787   0.0000  0.0000  0.2857
    5   603      0.0352   0.0335    0.0327   0.6791   0.0000  0.0000  0.2855
    6   604      0.0349   0.0333    0.0325   0.6795   0.0000  0.0000  0.2854
    7   605      0.0346   0.0331    0.0324   0.6800   0.0000  0.0000  0.2852
    8   606      0.0343   0.0328    0.0322   0.6805   0.0000  0.0000  0.2850
    9   607      0.0340   0.0326    0.0320   0.6811   0.0000  0.0000  0.2847
   10   608      0.0336   0.0323    0.0317   0.6817   0.0000  0.0000  0.2845
   11   609      0.0332   0.0319    0.0315   0.6823   0.0000  0.0000  0.2842
   12   610      0.0328   0.0316    0.0312   0.6829   0.0000  0.0000  0.2840
   13   611      0.0325   0.0313    0.0310   0.6836   0.0000  0.0000  0.2838
   14   612      0.0321   0.0310    0.0307   0.6842   0.0000  0.0000  0.2835
   15   613      0.0317   0.0307    0.0305   0.6849   0.0000  0.0000  0.2832
   16   614      0.0313   0.0303    0.0302   0.6855   0.0000  0.0000  0.2830
   17   615      0.0309   0.0300    0.0300   0.6861   0.0000  0.0000  0.2827
   18   616      0.0305   0.0297    0.0297   0.6867   0.0000  0.0000  0.2825
   19   617      0.0302   0.0295    0.0295   0.6873   0.0000  0.0000  0.2822
   20   618      0.0299   0.0292    0.0293   0.6879   0.0000  0.0000  0.2820
   21   619      0.0296   0.0290    0.0292   0.6884   0.0000  0.0000  0.2818
   22   620      0.0294   0.0288    0.0290   0.6888   0.0000  0.0000  0.2816
   23   621      0.0292   0.0286    0.0289   0.6892   0.0000  0.0000  0.2814
   24   622      0.0290   0.0284    0.0288   0.6896   0.0000  0.0000  0.2812
   25   623      0.0288   0.0283    0.0287   0.6899   0.0000  0.0000  0.2811
   26   624      0.0287   0.0282    0.0287   0.6902   0.0000  0.0000  0.2809
   27   625      0.0286   0.0282    0.0287   0.6904   0.0000  0.0000  0.2807
   28   626      0.0285   0.0281    0.0286   0.6906   0.0000  0.0000  0.2806
   29   627      0.0285   0.0281    0.0286   0.6908   0.0000  0.0000  0.2805
   30   628      0.0284   0.0281    0.0286   0.6910   0.0000  0.0000  0.2804
   31   629      0.0284   0.0280    0.0287   0.6911   0.0000  0.0000  0.2803
   32   630      0.0283   0.0280    0.0287   0.6913   0.0000  0.0000  0.2802
   33   631      0.0283   0.0280    0.0287   0.6914   0.0000  0.0000  0.2801
   34   632      0.0282   0.0279    0.0286   0.6916   0.0000  0.0000  0.2800
   35   633      0.0281   0.0278    0.0286   0.6919   0.0000  0.0000  0.2798
   36   634      0.0279   0.0277    0.0285   0.6922   0.0000  0.0000  0.2797
   37   635      0.0277   0.0276    0.0284   0.6926   0.0000  0.0000  0.2795
   38   636      0.0275   0.0274    0.0282   0.6930   0.0000  0.0000  0.2793
   39   637      0.0272   0.0271    0.0281   0.6936   0.0000  0.0000  0.2790
   40   638      0.0268   0.0268    0.0279   0.6942   0.0000  0.0000  0.2788
