   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
    1   599      0.0172   0.0407    0.0407   0.4324   0.0000  0.0000  0.5504
    2   600      0.0465   0.0747    0.0747   0.3777   0.0000  0.0000  0.5758
    3   601      0.0463   0.0745    0.0745   0.3781   0.0000  0.0000  0.5756
    4   602      0.0461   0.0743    0.0743   0.3785   0.0000  0.0000  0.5753
    5   603      0.0460   0.0742    0.0742   0.3790   0.0000  0.0000  0.5750
    6   604      0.0458   0.0740    0.0740   0.3796   0.0000  0.0000  0.5747
    7   605      0.0455   0.0738    0.0738   0.3801   0.0000  0.0000  0.5743
    8   606      0.0453   0.0736    0.0736   0.3807   0.0000  0.0000  0.5739
    9   607      0.0450   0.0734    0.0734   0.3814   0.0000  0.0000  0.5735
   10   608      0.0447   0.0731    0.0731   0.3821   0.0000  0.0000  0.5731
   11   609      0.0444   0.0728    0.0728   0.3829   0.0000  0.0000  0.5727
   12   610      0.0441   0.0724    0.0724   0.3837   0.0000  0.0000  0.5722
   13   611      0.0438   0.0721    0.0721   0.3844   0.0000  0.0000  0.5718
   14   612      0.0435   0.0719    0.0719   0.3852   0.0000  0.0000  0.5713
   15   613      0.0431   0.0716    0.0716   0.3860   0.0000  0.0000  0.5708
   16   614      0.0428   0.0713    0.0713   0.3868   0.0000  0.0000  0.5704
   17   615      0.0425   0.0709    0.0709   0.3876   0.0000  0.0000  0.5700
   18   616      0.0422   0.0706    0.0706   0.3883   0.0000  0.0000  0.5695
   19   617      0.0419   0.0705    0.0705   0.3890   0.0000  0.0000  0.5690
   20   618      0.0417   0.0703    0.0703   0.3897   0.0000  0.0000  0.5686
   21   619      0.0415   0.0702    0.0702   0.3903   0.0000  0.0000  0.5681
   22   620      0.0413   0.0701    0.0701   0.3909   0.0000  0.0000  0.5678
   23   621      0.0412   0.0700    0.0700   0.3914   0.0000  0.0000  0.5674
   24   622      0.0411   0.0699    0.0699   0.3918   0.0000  0.0000  0.5671
   25   623      0.0410   0.0699    0.0699   0.3922   0.0000  0.0000  0.5668
   26   624      0.0409   0.0700    0.0700   0.3926   0.0000  0.0000  0.5665
   27   625      0.0409   0.0701    0.0701   0.3929   0.0000  0.0000  0.5662
   28   626      0.0409   0.0702    0.0702   0.3931   0.0000  0.0000  0.5660
   29   627      0.0409   0.0703    0.0703   0.3933   0.0000  0.0000  0.5657
   30   628      0.0409   0.0704    0.0704   0.3935   0.0000  0.0000  0.5655
   31   629      0.0409   0.0705    0.0705   0.3937   0.0000  0.0000  0.5653
   32   630      0.0410   0.0706    0.0706   0.3939   0.0000  0.0000  0.5651
   33   631      0.0410   0.0707    0.0707   0.3941   0.0000  0.0000  0.5649
   34   632      0.0409   0.0708    0.0708   0.3943   0.0000  0.0000  0.5647
   35   633      0.0409   0.0708    0.0708   0.3947   0.0000  0.0000  0.5644
   36   634      0.0408   0.0708    0.0708   0.3950   0.0000  0.0000  0.5641
   37   635      0.0407   0.0707    0.0707   0.3955   0.0000  0.0000  0.5638
   38   636      0.0405   0.0706    0.0706   0.3961   0.0000  0.0000  0.5634
   39   637      0.0403   0.0705    0.0705   0.3968   0.0000  0.0000  0.5629
   40   638      0.0400   0.0703    0.0703   0.3975   0.0000  0.0000  0.5624
   41   639      0.0397   0.0700    0.0700   0.3984   0.0000  0.0000  0.5619
   42   640      0.0394   0.0698    0.0698   0.3993   0.0000  0.0000  0.5613
   43   641      0.0390   0.0695    0.0695   0.4003   0.0000  0.0000  0.5607
   44   642      0.0386   0.0692    0.0692   0.4013   0.0000  0.0000  0.5601
   45   643      0.0383   0.0689    0.0689   0.4023   0.0000  0.0000  0.5595
   46   644      0.0379   0.0686    0.0686   0.4033   0.0000  0.0000  0.5588
   47   645      0.0376   0.0683    0.0683   0.4043   0.0000  0.0000  0.5582
   48   646      0.0372   0.0681    0.0681   0.4052   0.0000  0.0000  0.5575
   49   647      0.0369   0.0679    0.0679   0.4061   0.0000  0.0000  0.5569
   50   648      0.0366   0.0677    0.0677   0.4070   0.0000  0.0000  0.5564
   51   649      0.0364   0.0675    0.0675   0.4077   0.0000  0.0000  0.5559
   52   650      0.0362   0.0674    0.0674   0.4084   0.0000  0.0000  0.5554
   53   651      0.0360   0.0674    0.0674   0.4089   0.0000  0.0000  0.5550
   54   652      0.0359   0.0674    0.0674   0.4095   0.0000  0.0000  0.5546
   55   653      0.0358   0.0674    0.0674   0.4100   0.0000  0.0000  0.5542
   56   654      0.0357   0.0673    0.0673   0.4106   0.0000  0.0000  0.5538
   57   655      0.0355   0.0673    0.0673   0.4111   0.0000  0.0000  0.5533
   58   656      0.0354   0.0672    0.0672   0.4117   0.0000  0.0000  0.5529
   59   657      0.0352   0.0672    0.0672   0.4124   0.0000  0.0000  0.5524
   60   658      0.0349   0.0671    0.0671   0.4132   0.0000  0.0000  0.5519
   61   659      0.0347   0.0669    0.0669   0.4140   0.0000  0.0000  0.5513
   62   660      0.0344   0.0668    0.0668   0.4149   0.0000  0.0000  0.5507
   63   661      0.0342   0.0667    0.0667   0.4158   0.0000  0.0000  0.5500
   64   662      0.0339   0.0665    0.0665   0.4167   0.0000  0.0000  0.5494
   65   663      0.0336   0.0664    0.0664   0.4176   0.0000  0.0000  0.5488
   66   664      0.0334   0.0663    0.0663   0.4184   0.0000  0.0000  0.5482
   67   665      0.0331   0.0661    0.0661   0.4192   0.0000  0.0000  0.5476
   68   666      0.0329   0.0660    0.0660   0.4200   0.0000  0.0000  0.5471
   69   667      0.0328   0.0660    0.0660   0.4207   0.0000  0.0000  0.5466
   70   668      0.0326   0.0660    0.0660   0.4212   0.0000  0.0000  0.5461
   71   669      0.0325   0.0661    0.0661   0.4217   0.0000  0.0000  0.5457
   72   670      0.0325   0.0662    0.0662   0.4222   0.0000  0.0000  0.5453
   73   671      0.0325   0.0663    0.0663   0.4226   0.0000  0.0000  0.5450
   74   672      0.0324   0.0664    0.0664   0.4229   0.0000  0.0000  0.5447
   75   673      0.0325   0.0665    0.0665   0.4231   0.0000  0.0000  0.5444
   76   674      0.0325   0.0667    0.0667   0.4234   0.0000  0.0000  0.5441
   77   675      0.0326   0.0670    0.0670   0.4235   0.0000  0.0000  0.5439
   78   676      0.0326   0.0672    0.0672   0.4237   0.0000  0.0000  0.5436
   79   677      0.0328   0.0674    0.0674   0.4238   0.0000  0.0000  0.5435
   80   678      0.0329   0.0677    0.0677   0.4238   0.0000  0.0000  0.5433
   81   679      0.0330   0.0679    0.0679   0.4237   0.0000  0.0000  0.5432
   82   680      0.0332   0.0682    0.0682   0.4235   0.0000  0.0000  0.5432
   83   681      0.0335   0.0687    0.0687   0.4231   0.0000  0.0000  0.5433
   84   682      0.0339   0.0692    0.0692   0.4226   0.0000  0.0000  0.5435
   85   683      0.0344   0.0698    0.0698   0.4217   0.0000  0.0000  0.5438
   86   684      0.0350   0.0705    0.0705   0.4207   0.0000  0.0000  0.5443
   87   685      0.0358   0.0714    0.0714   0.4192   0.0000  0.0000  0.5450
   88   686      0.0368   0.0725    0.0725   0.4174   0.0000  0.0000  0.5458
   89   687      0.0380   0.0739    0.0739   0.4151   0.0000  0.0000  0.5469
   90   688      0.0394   0.0755    0.0755   0.4125   0.0000  0.0000  0.5482
   91   689      0.0410   0.0774    0.0774   0.4093   0.0000  0.0000  0.5497
   92   690      0.0430   0.0796    0.0796   0.4056   0.0000  0.0000  0.5514
   93   691      0.0453   0.0821    0.0821   0.4013   0.0000  0.0000  0.5534
   94   692      0.0478   0.0850    0.0850   0.3966   0.0000  0.0000  0.5556
   95   693      0.0507   0.0883    0.0883   0.3912   0.0000  0.0000  0.5581
   96   694      0.0539   0.0920    0.0920   0.3854   0.0000  0.0000  0.5607
   97   695      0.0573   0.0959    0.0959   0.3791   0.0000  0.0000  0.5636
   98   696      0.0610   0.1002    0.1002   0.3724   0.0000  0.0000  0.5666
