   No. Wave(nm)    Alb    Rf_Nadir  Rf_view  Abs_gr   Abs_sn  Abs_bk  Abs_soil
    1   599      0.0317   0.0553    0.0553   0.2764   0.0000  0.0000  0.6919
    2   600      0.0511   0.0777    0.0777   0.2401   0.0000  0.0000  0.7088
    3   601      0.0510   0.0777    0.0777   0.2404   0.0000  0.0000  0.7086
    4   602      0.0509   0.0776    0.0776   0.2407   0.0000  0.0000  0.7084
    5   603      0.0509   0.0777    0.0777   0.2410   0.0000  0.0000  0.7081
    6   604      0.0508   0.0776    0.0776   0.2413   0.0000  0.0000  0.7079
    7   605      0.0507   0.0776    0.0776   0.2417   0.0000  0.0000  0.7076
    8   606      0.0506   0.0775    0.0775   0.2421   0.0000  0.0000  0.7073
    9   607      0.0505   0.0775    0.0775   0.2426   0.0000  0.0000  0.7069
   10   608      0.0504   0.0775    0.0775   0.2430   0.0000  0.0000  0.7066
   11   609      0.0502   0.0773    0.0773   0.2435   0.0000  0.0000  0.7063
   12   610      0.0501   0.0772    0.0772   0.2440   0.0000  0.0000  0.7059
   13   611      0.0499   0.0771    0.0771   0.2445   0.0000  0.0000  0.7056
   14   612      0.0498   0.0771    0.0771   0.2450   0.0000  0.0000  0.7052
   15   613      0.0497   0.0770    0.0770   0.2456   0.0000  0.0000  0.7048
   16   614      0.0495   0.0769    0.0769   0.2461   0.0000  0.0000  0.7044
   17   615      0.0493   0.0768    0.0768   0.2466   0.0000  0.0000  0.7041
   18   616      0.0492   0.0767    0.0767   0.2470   0.0000  0.0000  0.7038
   19   617      0.0492   0.0768    0.0768   0.2475   0.0000  0.0000  0.7033
   20   618      0.0491   0.0768    0.0768   0.2480   0.0000  0.0000  0.7029
   21   619      0.0491   0.0769    0.0769   0.2484   0.0000  0.0000  0.7026
   22   620      0.0490   0.0769    0.0769   0.2487   0.0000  0.0000  0.7023
   23   621      0.0490   0.0770    0.0770   0.2491   0.0000  0.0000  0.7019
   24   622      0.0490   0.0771    0.0771   0.2493   0.0000  0.0000  0.7016
   25   623      0.0491   0.0772    0.0772   0.2496   0.0000  0.0000  0.7014
   26   624      0.0491   0.0774    0.0774   0.2498   0.0000  0.0000  0.7010
   27   625      0.0492   0.0776    0.0776   0.2500   0.0000  0.0000  0.7008
   28   626      0.0493   0.0778    0.0778   0.2502   0.0000  0.0000  0.7005
   29   627      0.0494   0.0781    0.0781   0.2503   0.0000  0.0000  0.7003
   30   628      0.0495   0.0783    0.0783   0.2504   0.0000  0.0000  0.7000
   31   629      0.0496   0.0785    0.0785   0.2505   0.0000  0.0000  0.6998
   32   630      0.0497   0.0787    0.0787   0.2506   0.0000  0.0000  0.6996
   33   631      0.0498   0.0789    0.0789   0.2508   0.0000  0.0000  0.6994
   34   632      0.0499   0.0790    0.0790   0.2509   0.0000  0.0000  0.6992
   35   633      0.0500   0.0792    0.0792   0.2511   0.0000  0.0000  0.6989
   36   634      0.0500   0.0793    0.0793   0.2514   0.0000  0.0000  0.6986
   37   635      0.0500   0.0794    0.0794   0.2517   0.0000  0.0000  0.6983
   38   636      0.0500   0.0795    0.0795   0.2520   0.0000  0.0000  0.6980
   39   637      0.0499   0.0795    0.0795   0.2525   0.0000  0.0000  0.6976
   40   638      0.0498   0.0795    0.0795   0.2530   0.0000  0.0000  0.6972
   41   639      0.0497   0.0795    0.0795   0.2535   0.0000  0.0000  0.6967
   42   640      0.0496   0.0795    0.0795   0.2541   0.0000  0.0000  0.6962
   43   641      0.0495   0.0795    0.0795   0.2548   0.0000  0.0000  0.6957
   44   642      0.0493   0.0794    0.0794   0.2554   0.0000  0.0000  0.6952
   45   643      0.0492   0.0794    0.0794   0.2561   0.0000  0.0000  0.6947
   46   644      0.0491   0.0794    0.0794   0.2567   0.0000  0.0000  0.6942
   47   645      0.0489   0.0794    0.0794   0.2574   0.0000  0.0000  0.6937
   48   646      0.0488   0.0794    0.0794   0.2580   0.0000  0.0000  0.6931
   49   647      0.0488   0.0794    0.0794   0.2586   0.0000  0.0000  0.6926
   50   648      0.0486   0.0794    0.0794   0.2591   0.0000  0.0000  0.6922
   51   649      0.0486   0.0794    0.0794   0.2596   0.0000  0.0000  0.6918
   52   650      0.0486   0.0795    0.0795   0.2600   0.0000  0.0000  0.6914
   53   651      0.0486   0.0797    0.0797   0.2604   0.0000  0.0000  0.6910
   54   652      0.0486   0.0798    0.0798   0.2608   0.0000  0.0000  0.6906
   55   653      0.0486   0.0800    0.0800   0.2611   0.0000  0.0000  0.6902
   56   654      0.0487   0.0801    0.0801   0.2615   0.0000  0.0000  0.6899
   57   655      0.0487   0.0802    0.0802   0.2618   0.0000  0.0000  0.6895
   58   656      0.0487   0.0804    0.0804   0.2622   0.0000  0.0000  0.6891
   59   657      0.0487   0.0805    0.0805   0.2627   0.0000  0.0000  0.6887
   60   658      0.0486   0.0806    0.0806   0.2632   0.0000  0.0000  0.6882
   61   659      0.0486   0.0806    0.0806   0.2637   0.0000  0.0000  0.6877
   62   660      0.0485   0.0808    0.0808   0.2643   0.0000  0.0000  0.6872
   63   661      0.0485   0.0808    0.0808   0.2649   0.0000  0.0000  0.6867
   64   662      0.0484   0.0809    0.0809   0.2655   0.0000  0.0000  0.6861
   65   663      0.0484   0.0810    0.0810   0.2660   0.0000  0.0000  0.6856
   66   664      0.0483   0.0811    0.0811   0.2666   0.0000  0.0000  0.6851
   67   665      0.0483   0.0811    0.0811   0.2671   0.0000  0.0000  0.6846
   68   666      0.0482   0.0812    0.0812   0.2676   0.0000  0.0000  0.6842
   69   667      0.0482   0.0813    0.0813   0.2680   0.0000  0.0000  0.6837
   70   668      0.0483   0.0815    0.0815   0.2684   0.0000  0.0000  0.6833
   71   669      0.0483   0.0817    0.0817   0.2687   0.0000  0.0000  0.6829
   72   670      0.0484   0.0819    0.0819   0.2690   0.0000  0.0000  0.6826
   73   671      0.0485   0.0821    0.0821   0.2693   0.0000  0.0000  0.6822
   74   672      0.0486   0.0824    0.0824   0.2695   0.0000  0.0000  0.6819
   75   673      0.0487   0.0826    0.0826   0.2696   0.0000  0.0000  0.6816
   76   674      0.0489   0.0830    0.0830   0.2698   0.0000  0.0000  0.6813
   77   675      0.0491   0.0833    0.0833   0.2699   0.0000  0.0000  0.6811
   78   676      0.0492   0.0836    0.0836   0.2700   0.0000  0.0000  0.6808
   79   677      0.0494   0.0839    0.0839   0.2700   0.0000  0.0000  0.6806
   80   678      0.0496   0.0842    0.0842   0.2700   0.0000  0.0000  0.6804
   81   679      0.0498   0.0846    0.0846   0.2699   0.0000  0.0000  0.6802
   82   680      0.0500   0.0849    0.0849   0.2698   0.0000  0.0000  0.6801
   83   681      0.0504   0.0854    0.0854   0.2695   0.0000  0.0000  0.6801
   84   682      0.0507   0.0859    0.0859   0.2692   0.0000  0.0000  0.6801
   85   683      0.0512   0.0864    0.0864   0.2686   0.0000  0.0000  0.6802
   86   684      0.0517   0.0871    0.0871   0.2679   0.0000  0.0000  0.6804
   87   685      0.0523   0.0879    0.0879   0.2669   0.0000  0.0000  0.6808
   88   686      0.0531   0.0887    0.0887   0.2656   0.0000  0.0000  0.6813
   89   687      0.0540   0.0898    0.0898   0.2641   0.0000  0.0000  0.6819
   90   688      0.0550   0.0910    0.0910   0.2624   0.0000  0.0000  0.6826
   91   689      0.0562   0.0924    0.0924   0.2602   0.0000  0.0000  0.6836
   92   690      0.0576   0.0940    0.0940   0.2578   0.0000  0.0000  0.6846
   93   691      0.0592   0.0957    0.0957   0.2550   0.0000  0.0000  0.6858
   94   692      0.0610   0.0977    0.0977   0.2518   0.0000  0.0000  0.6872
   95   693      0.0630   0.1000    0.1000   0.2483   0.0000  0.0000  0.6887
   96   694      0.0652   0.1024    0.1024   0.2444   0.0000  0.0000  0.6904
   97   695      0.0676   0.1050    0.1050   0.2403   0.0000  0.0000  0.6922
   98   696      0.0701   0.1077    0.1077   0.2358   0.0000  0.0000  0.6941
   99   697      0.0727   0.1105    0.1105   0.2312   0.0000  0.0000  0.6961
  100   698      0.0755   0.1135    0.1135   0.2263   0.0000  0.0000  0.6982
  101   699      0.0783   0.1164    0.1164   0.2214   0.0000  0.0000  0.7003
  102   700      0.0812   0.1195    0.1195   0.2163   0.0000  0.0000  0.7025
  103   701      0.0842   0.1225    0.1225   0.2112   0.0000  0.0000  0.7046
  104   702      0.0871   0.1255    0.1255   0.2061   0.0000  0.0000  0.7068
  105   703      0.0900   0.1285    0.1285   0.2011   0.0000  0.0000  0.7089
  106   704      0.0930   0.1315    0.1315   0.1961   0.0000  0.0000  0.7110
  107   705      0.0958   0.1343    0.1343   0.1912   0.0000  0.0000  0.7130
  108   706      0.0987   0.1372    0.1372   0.1863   0.0000  0.0000  0.7150
  109   707      0.1014   0.1399    0.1399   0.1816   0.0000  0.0000  0.7169
  110   708      0.1042   0.1427    0.1427   0.1770   0.0000  0.0000  0.7188
  111   709      0.1069   0.1453    0.1453   0.1724   0.0000  0.0000  0.7207
  112   710      0.1096   0.1480    0.1480   0.1678   0.0000  0.0000  0.7225
  113   711      0.1123   0.1505    0.1505   0.1634   0.0000  0.0000  0.7243
  114   712      0.1149   0.1530    0.1530   0.1590   0.0000  0.0000  0.7261
  115   713      0.1174   0.1555    0.1555   0.1546   0.0000  0.0000  0.7279
  116   714      0.1200   0.1579    0.1579   0.1503   0.0000  0.0000  0.7297
  117   715      0.1225   0.1603    0.1603   0.1460   0.0000  0.0000  0.7314
  118   716      0.1251   0.1626    0.1626   0.1418   0.0000  0.0000  0.7331
  119   717      0.1275   0.1649    0.1649   0.1376   0.0000  0.0000  0.7348
  120   718      0.1300   0.1673    0.1673   0.1335   0.0000  0.0000  0.7365
  121   719      0.1324   0.1695    0.1695   0.1295   0.0000  0.0000  0.7381
  122   720      0.1348   0.1717    0.1717   0.1255   0.0000  0.0000  0.7397
  123   721      0.1372   0.1739    0.1739   0.1216   0.0000  0.0000  0.7412
  124   722      0.1395   0.1760    0.1760   0.1178   0.0000  0.0000  0.7427
  125   723      0.1418   0.1781    0.1781   0.1140   0.0000  0.0000  0.7442
  126   724      0.1440   0.1801    0.1801   0.1104   0.0000  0.0000  0.7456
  127   725      0.1461   0.1820    0.1820   0.1068   0.0000  0.0000  0.7470
  128   726      0.1482   0.1839    0.1839   0.1034   0.0000  0.0000  0.7484
  129   727      0.1502   0.1857    0.1857   0.1001   0.0000  0.0000  0.7497
  130   728      0.1522   0.1875    0.1875   0.0969   0.0000  0.0000  0.7509
  131   729      0.1541   0.1892    0.1892   0.0938   0.0000  0.0000  0.7521
  132   730      0.1559   0.1909    0.1909   0.0908   0.0000  0.0000  0.7532
  133   731      0.1577   0.1924    0.1924   0.0880   0.0000  0.0000  0.7543
  134   732      0.1594   0.1940    0.1940   0.0853   0.0000  0.0000  0.7553
  135   733      0.1611   0.1955    0.1955   0.0827   0.0000  0.0000  0.7562
  136   734      0.1626   0.1969    0.1969   0.0802   0.0000  0.0000  0.7572
  137   735      0.1641   0.1982    0.1982   0.0779   0.0000  0.0000  0.7580
  138   736      0.1655   0.1995    0.1995   0.0757   0.0000  0.0000  0.7588
  139   737      0.1668   0.2007    0.2007   0.0737   0.0000  0.0000  0.7595
  140   738      0.1681   0.2019    0.2019   0.0717   0.0000  0.0000  0.7602
  141   739      0.1694   0.2031    0.2031   0.0699   0.0000  0.0000  0.7608
  142   740      0.1705   0.2042    0.2042   0.0681   0.0000  0.0000  0.7613
  143   741      0.1716   0.2052    0.2052   0.0666   0.0000  0.0000  0.7618
  144   742      0.1727   0.2062    0.2062   0.0651   0.0000  0.0000  0.7622
  145   743      0.1736   0.2071    0.2071   0.0637   0.0000  0.0000  0.7626
  146   744      0.1745   0.2079    0.2079   0.0624   0.0000  0.0000  0.7630
  147   745      0.1754   0.2088    0.2088   0.0612   0.0000  0.0000  0.7634
  148   746      0.1762   0.2096    0.2096   0.0602   0.0000  0.0000  0.7636
  149   747      0.1769   0.2103    0.2103   0.0592   0.0000  0.0000  0.7639
  150   748      0.1776   0.2110    0.2110   0.0582   0.0000  0.0000  0.7641
  151   749      0.1783   0.2117    0.2117   0.0574   0.0000  0.0000  0.7642
  152   750      0.1790   0.2124    0.2124   0.0567   0.0000  0.0000  0.7644
  153   751      0.1796   0.2130    0.2130   0.0559   0.0000  0.0000  0.7645
  154   752      0.1802   0.2137    0.2137   0.0552   0.0000  0.0000  0.7646
  155   753      0.1808   0.2143    0.2143   0.0545   0.0000  0.0000  0.7647
  156   754      0.1814   0.2150    0.2150   0.0537   0.0000  0.0000  0.7648
  157   755      0.1821   0.2156    0.2156   0.0530   0.0000  0.0000  0.7649
  158   756      0.1827   0.2163    0.2163   0.0523   0.0000  0.0000  0.7650
  159   757      0.1833   0.2170    0.2170   0.0515   0.0000  0.0000  0.7651
  160   758      0.1839   0.2176    0.2176   0.0508   0.0000  0.0000  0.7652
  161   759      0.1846   0.2183    0.2183   0.0501   0.0000  0.0000  0.7653
  162   760      0.1851   0.2189    0.2189   0.0494   0.0000  0.0000  0.7654
  163   761      0.1857   0.2195    0.2195   0.0487   0.0000  0.0000  0.7655
  164   762      0.1863   0.2201    0.2201   0.0481   0.0000  0.0000  0.7656
  165   763      0.1869   0.2207    0.2207   0.0474   0.0000  0.0000  0.7657
  166   764      0.1874   0.2213    0.2213   0.0468   0.0000  0.0000  0.7658
  167   765      0.1879   0.2218    0.2218   0.0462   0.0000  0.0000  0.7659
  168   766      0.1884   0.2223    0.2223   0.0456   0.0000  0.0000  0.7660
  169   767      0.1890   0.2229    0.2229   0.0450   0.0000  0.0000  0.7660
  170   768      0.1895   0.2235    0.2235   0.0444   0.0000  0.0000  0.7660
  171   769      0.1900   0.2241    0.2241   0.0439   0.0000  0.0000  0.7660
  172   770      0.1905   0.2246    0.2246   0.0434   0.0000  0.0000  0.7660
  173   771      0.1910   0.2252    0.2252   0.0429   0.0000  0.0000  0.7660
  174   772      0.1915   0.2257    0.2257   0.0425   0.0000  0.0000  0.7660
