

   No. Wave(nm)     Rf
   1     599      0.0272
   2     600      0.0371
   3     601      0.0371
   4     602      0.0371
   5     603      0.0371
   6     604      0.0371
   7     605      0.0371
   8     606      0.0370
   9     607      0.0370
  10     608      0.0370
  11     609      0.0370
  12     610      0.0369
  13     611      0.0369
  14     612      0.0369
  15     613      0.0368
  16     614      0.0368
  17     615      0.0367
  18     616      0.0367
  19     617      0.0368
  20     618      0.0368
  21     619      0.0368
  22     620      0.0368
  23     621      0.0369
  24     622      0.0369
  25     623      0.0370
  26     624      0.0371
  27     625      0.0372
  28     626      0.0373
  29     627      0.0374
  30     628      0.0376
  31     629      0.0377
  32     630      0.0378
  33     631      0.0379
  34     632      0.0380
  35     633      0.0380
  36     634      0.0381
  37     635      0.0381
  38     636      0.0382
  39     637      0.0382
  40     638      0.0382
  41     639      0.0382
  42     640      0.0382
  43     641      0.0382
  44     642      0.0382
  45     643      0.0382
  46     644      0.0382
  47     645      0.0382
  48     646      0.0382
  49     647      0.0382
  50     648      0.0382
  51     649      0.0382
  52     650      0.0383
  53     651      0.0384
  54     652      0.0384
  55     653      0.0385
  56     654      0.0386
  57     655      0.0387
  58     656      0.0387
  59     657      0.0388
  60     658      0.0388
  61     659      0.0389
  62     660      0.0389
  63     661      0.0390
  64     662      0.0390
  65     663      0.0390
  66     664      0.0391
  67     665      0.0391
  68     666      0.0391
  69     667      0.0392
  70     668      0.0393
  71     669      0.0394
  72     670      0.0395
  73     671      0.0396
  74     672      0.0397
  75     673      0.0398
  76     674      0.0400
  77     675      0.0401
  78     676      0.0403
  79     677      0.0405
  80     678      0.0406
  81     679      0.0408
  82     680      0.0410
  83     681      0.0412
  84     682      0.0414
  85     683      0.0417
  86     684      0.0421
  87     685      0.0425
  88     686      0.0429
  89     687      0.0434
  90     688      0.0440
  91     689      0.0447
  92     690      0.0455
  93     691      0.0464
  94     692      0.0474
  95     693      0.0486
  96     694      0.0498
  97     695      0.0511
  98     696      0.0525
  99     697      0.0540
 100     698      0.0555
 101     699      0.0571
 102     700      0.0587
 103     701      0.0604
 104     702      0.0620
 105     703      0.0637
 106     704      0.0653
 107     705      0.0669
 108     706      0.0685
 109     707      0.0701
 110     708      0.0717
 111     709      0.0732
 112     710      0.0748
 113     711      0.0763
 114     712      0.0778
 115     713      0.0793
 116     714      0.0807
 117     715      0.0822
 118     716      0.0837
 119     717      0.0851
 120     718      0.0865
 121     719      0.0880
 122     720      0.0894
 123     721      0.0908
 124     722      0.0921
 125     723      0.0935
 126     724      0.0948
 127     725      0.0961
 128     726      0.0973
 129     727      0.0985
 130     728      0.0997
 131     729      0.1009
 132     730      0.1020
 133     731      0.1030
 134     732      0.1041
 135     733      0.1052
 136     734      0.1061
 137     735      0.1070
 138     736      0.1079
 139     737      0.1087
 140     738      0.1096
 141     739      0.1104
 142     740      0.1111
 143     741      0.1119
 144     742      0.1125
 145     743      0.1132
 146     744      0.1138
 147     745      0.1143
 148     746      0.1149
 149     747      0.1154
 150     748      0.1159
 151     749      0.1164
 152     750      0.1168
 153     751      0.1172
 154     752      0.1177
 155     753      0.1181
 156     754      0.1186
 157     755      0.1190
 158     756      0.1195
 159     757      0.1199
 160     758      0.1204
 161     759      0.1208
 162     760      0.1212
 163     761      0.1217
 164     762      0.1221
 165     763      0.1225
 166     764      0.1229
 167     765      0.1233
 168     766      0.1237
 169     767      0.1240
 170     768      0.1244
 171     769      0.1249
 172     770      0.1252
 173     771      0.1256
 174     772      0.1260
 175     773      0.1264
 176     774      0.1266
 177     775      0.1270
 178     776      0.1272
 179     777      0.1275
 180     778      0.1278
 181     779      0.1281
 182     780      0.1284
 183     781      0.1286
 184     782      0.1288
 185     783      0.1291
 186     784      0.1293
 187     785      0.1295
 188     786      0.1298
 189     787      0.1300
 190     788      0.1303
 191     789      0.1305
 192     790      0.1308
 193     791      0.1310
 194     792      0.1312
 195     793      0.1315
 196     794      0.1317
 197     795      0.1319
 198     796      0.1321
 199     797      0.1324
 200     798      0.1326
 201     799      0.1328
