

   No. Wave(nm)     Rf
   1     599      0.0248
   2     600      0.0267
   3     601      0.0268
   4     602      0.0268
   5     603      0.0269
   6     604      0.0270
   7     605      0.0270
   8     606      0.0271
   9     607      0.0272
  10     608      0.0272
  11     609      0.0273
  12     610      0.0273
  13     611      0.0274
  14     612      0.0274
  15     613      0.0275
  16     614      0.0276
  17     615      0.0276
  18     616      0.0276
  19     617      0.0278
  20     618      0.0279
  21     619      0.0280
  22     620      0.0281
  23     621      0.0281
  24     622      0.0282
  25     623      0.0284
  26     624      0.0285
  27     625      0.0286
  28     626      0.0287
  29     627      0.0289
  30     628      0.0290
  31     629      0.0291
  32     630      0.0292
  33     631      0.0293
  34     632      0.0294
  35     633      0.0295
  36     634      0.0296
  37     635      0.0297
  38     636      0.0298
  39     637      0.0299
  40     638      0.0300
  41     639      0.0301
  42     640      0.0302
  43     641      0.0303
  44     642      0.0304
  45     643      0.0305
  46     644      0.0306
  47     645      0.0307
  48     646      0.0308
  49     647      0.0309
  50     648      0.0309
  51     649      0.0310
  52     650      0.0312
  53     651      0.0313
  54     652      0.0314
  55     653      0.0315
  56     654      0.0316
  57     655      0.0317
  58     656      0.0318
  59     657      0.0319
  60     658      0.0320
  61     659      0.0322
  62     660      0.0323
  63     661      0.0324
  64     662      0.0325
  65     663      0.0326
  66     664      0.0327
  67     665      0.0328
  68     666      0.0329
  69     667      0.0330
  70     668      0.0331
  71     669      0.0332
  72     670      0.0333
  73     671      0.0335
  74     672      0.0336
  75     673      0.0337
  76     674      0.0339
  77     675      0.0340
  78     676      0.0342
  79     677      0.0343
  80     678      0.0345
  81     679      0.0346
  82     680      0.0348
  83     681      0.0349
  84     682      0.0351
  85     683      0.0353
  86     684      0.0355
  87     685      0.0358
  88     686      0.0360
  89     687      0.0363
  90     688      0.0366
  91     689      0.0369
  92     690      0.0373
  93     691      0.0377
  94     692      0.0381
  95     693      0.0385
  96     694      0.0390
  97     695      0.0395
  98     696      0.0400
  99     697      0.0405
 100     698      0.0410
 101     699      0.0416
 102     700      0.0421
 103     701      0.0427
 104     702      0.0432
 105     703      0.0438
 106     704      0.0443
 107     705      0.0449
 108     706      0.0454
 109     707      0.0460
 110     708      0.0465
 111     709      0.0471
 112     710      0.0476
 113     711      0.0482
 114     712      0.0487
 115     713      0.0492
 116     714      0.0497
 117     715      0.0502
 118     716      0.0507
 119     717      0.0512
 120     718      0.0518
 121     719      0.0523
 122     720      0.0528
 123     721      0.0533
 124     722      0.0538
 125     723      0.0543
 126     724      0.0548
 127     725      0.0553
 128     726      0.0558
 129     727      0.0562
 130     728      0.0567
 131     729      0.0571
 132     730      0.0576
 133     731      0.0580
 134     732      0.0584
 135     733      0.0589
 136     734      0.0593
 137     735      0.0597
 138     736      0.0601
 139     737      0.0604
 140     738      0.0608
 141     739      0.0612
 142     740      0.0616
 143     741      0.0619
 144     742      0.0623
 145     743      0.0626
 146     744      0.0628
 147     745      0.0632
 148     746      0.0635
 149     747      0.0637
 150     748      0.0640
 151     749      0.0643
 152     750      0.0646
 153     751      0.0648
 154     752      0.0651
 155     753      0.0654
 156     754      0.0657
 157     755      0.0659
 158     756      0.0662
 159     757      0.0665
 160     758      0.0668
 161     759      0.0671
 162     760      0.0673
 163     761      0.0676
 164     762      0.0678
 165     763      0.0681
 166     764      0.0684
 167     765      0.0686
 168     766      0.0688
 169     767      0.0691
 170     768      0.0694
 171     769      0.0697
 172     770      0.0699
 173     771      0.0701
 174     772      0.0704
 175     773      0.0707
 176     774      0.0709
 177     775      0.0711
 178     776      0.0713
 179     777      0.0716
 180     778      0.0718
 181     779      0.0720
 182     780      0.0722
 183     781      0.0724
 184     782      0.0726
 185     783      0.0728
 186     784      0.0731
 187     785      0.0733
 188     786      0.0735
 189     787      0.0737
 190     788      0.0739
 191     789      0.0741
 192     790      0.0743
 193     791      0.0745
 194     792      0.0747
 195     793      0.0749
 196     794      0.0751
 197     795      0.0753
 198     796      0.0755
 199     797      0.0757
 200     798      0.0759
 201     799      0.0761
