SPATIAL_COVERAGE,TWO_D_COVRG_DESCR,NW_LONGITUDE,NE_LONGITUDE,SE_LONGITUDE,SW_LONGITUDE,NW_LATITUDE,NE_LATITUDE,SE_LATITUDE,SW_LATITUDE,NW_BOREAS_X,NE_BOREAS_X,SE_BOREAS_X,SW_BOREAS_X,NW_BOREAS_Y,NE_BOREAS_Y,SE_BOREAS_Y,SW_BOREAS_Y,REVISION_DATE
'REGION','The 1000 km by 1000 km BOREAS Study Region as defined in the Boreas Experiment Plan.',-111.0,-93.50224,-96.96951,-111.0,59.97907,58.84379,50.08913,51.0,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,08-SEP-97
'NSA','The BOREAS Northern Study Area in North central Manitoba as defined in the Experiment Plan.',-98.82437,-97.24052,-97.48865,-99.04516,56.24683,56.08071,55.37687,55.54003,750.0,850.0,850.0,750.0,650.0,650.0,570.0,570.0,08-SEP-97
'NSA-MSA','The BOREAS Northern Study Area Modeling Sub-Area as defined in the Experiment Plan.',-98.88032,-98.09018,-98.17833,-98.9633,56.07017,55.98998,55.72548,55.80513,750.0,800.0,800.0,750.0,630.0,630.0,600.0,600.0,08-SEP-97
'NSA-MSA-EXT','The west side extension of the Northern Study Area Modeling Sub-Area as defined in the Experiment Plan.',-98.92195,-98.76418,-98.79213,-98.94955,55.93766,55.92207,55.83376,55.84931,750.0,760.0,760.0,750.0,615.0,615.0,605.0,605.0,08-SEP-97
'SSA','The BOREAS Southern Study Area in central Saskatchewan as defined in the Experiment Plan',106.22704,-104.2362,-104.3676,-106.32005,54.31922,54.22266,53.4185,53.51324,310.0,440.0,440.0,310.0,380.0,380.0,290.0,290.0,08-SEP-97
'SSA-MSA','The BOREAS Southern Study Area Modeling Sub-Area as defined in the Experiment Plan.',105.17954,-104.41798,-104.47519,-105.2302,54.0925,54.05258,53.69512,53.7347,380.0,430.0,430.0,380.0,360.0,360.0,320.0,320.0,08-SEP-97
'TRANSECT','The geographic area between the Southern and Northern Study Areas as defined in the Experiment Plan.',-103.80891,-98.66538,-99.61193,-104.3676,56.63258,56.23112,53.04739,53.4185,440.0,760.0,760.0,440.0,650.0,650.0,290.0,290.0,08-SEP-97
'SASK','The province of Saskatchewan.',-110.0,-102.0,-101.0,-110.0,60.0,60.0,49.0,49.0,55.907,501.774,,,1002.729,1034.807,,,08-SEP-97
'MANI','The province of Manitoba.',-102.0,-88.0,-88.0,-102.0,60.0,60.0,49.0,49.0,501.774,,,,1034.807,,,,08-SEP-97
'PANP','The Prince Albert National Park.',-106.83333,-106.0,-106.0,-106.83333,54.41667,54.41667,53.5,53.5,269.986,323.908,331.237,276.094,388.316,391.871,290.007,286.372,08-SEP-97
